date,pm10,so2,no2,o3
4/1/16,45.86,1.87,5.94,18.28
5/1/16,38.69,6.54,7.67,1.28
1/2/16,32.57,5.64,6.29,1.29
2/2/16,23.69,1.61,5.77,1.27
3/2/16,35.98,4.23,6.89,1.28
4/2/16,22.31,2.81,3.09,1.28
1/3/16,29.84,1.4,6.9,1.27
2/3/16,41.29,5.15,8.21,1.28
3/3/16,25.33,1.88,6.81,3.85
4/3/16,30.5,0.001,4.62,1.99
1/4/16,32.22,0.001,6.53,3.7
2/4/16,19.62,0.001,4.08,0
3/4/16,27.46,0.001,7.08,0.001
4/4/16,29.28,0.001,7.51,1.28
1/5/16,29.1,0.001,8.36,0.001
2/5/16,4.37,0.001,3.22,0.001
3/5/16,14,0.001,7.21,0.001
4/5/16,47.93,2.42,10.34,nan
1/6/16,29.62,3.39,8.41,4.11
2/6/16,39.22,0.001,6.39,0.001
3/6/16,33.99,0.001,6.65,4.12
4/6/16,26.14,0.001,6.06,1.56
5/6/16,56.63,0.001,8.66,2.13
1/7/16,34.61,0.001,6.09,2.12
2/7/16,35.07,0.001,8.14,2.55
3/7/16,43.44,0.001,7.82,0.001
4/7/16,19.32,0.001,4.63,0.001
1/8/16,48.59,0.001,6.45,0.001
2/8/16,23.24,0.001,2.32,0.001
3/8/16,46.89,0.001,6.36,1.28
4/8/16,41.48,0.001,6.39,0.001
5/8/16,23.17,0.001,1.99,1.97
1/9/16,53.91,0.001,13.86,3.25
2/9/16,41.36,0.001,0.41,3.82
3/9/16,46.34,0.001,16.17,0.001
4/9/16,53.62,0.001,23.93,0.001
1/10/16,47.01,0.001,14.87,0
2/10/16,31.06,nan,23.78,nan
3/10/16,42.2,0.001,17.32,1.41
4/10/16,nan,0.001,11.17,0.001
5/10/16,44.65,0.001,19.93,1.21
1/11/16,34.13,0.001,15.77,0.001
2/11/16,31.91,0.001,16.61,0.001
3/11/16,62.39,0.001,24.78,1.27
4/11/16,27.68,1.86,12.24,1.27
1/12/16,81.74,0.001,16.38,0
2/12/16,21.47,0.001,5.64,0
