date,pm10,so2,no2,o3
4/1/15,nan,2.1,7.9,12.7 
5/1/15,nan,1.8,5.7,1.6 
1/2/15,nan,0.001,4.1,4.3 
2/2/15,nan,5.7,8.1,8.1 
3/2/15,nan,1.3,4.9,7.9 
4/2/15,nan,0.5,5.5,4.9 
1/3/15,nan,1.2,5.8,8.2 
2/3/15,nan,0.9,6.5,12.6 
3/3/15,nan,0.2,5.5,11.6 
4/3/15,nan,0.9,6.9,6.3 
1/4/15,21.00,0.001,4.2,8.7 
2/4/15,31.20,0.001,7.2,15.3 
3/4/15,25.50,0.001,6.3,9.3 
4/4/15,26.00,0.001,9.3,11.2 
1/5/15,34.70,0.001,10.3,9.1 
2/5/15,36.30,0.001,8.8,8.1 
3/5/15,20.90,0.8,6.8,4.6 
4/5/15,30.00,0.001,6.9,22.8 
1/6/15,19.70,0.001,6.4,3.3 
2/6/15,20.30,0.001,9.4,8.4 
3/6/15,57.10,0.001,12.4,5.8 
4/6/15,14.60,0.001,8.1,1.1 
5/6/15,97.40,0.001,13.4,4.3 
1/7/15,nan,0.2,4.7,6.3 
2/7/15,23.00,0.001,4.4,2.5 
3/7/15,19.90,0.4,7.3,1.5 
4/7/15,75.70,0.001,6.7,0.6
1/8/15,42.50,0.001,6.7,1.1 
2/8/15,42.40,1.1,7.4,0.6 
3/8/15,42.50,0.001,11.4,5.1 
4/8/15,36.30,2.9,8.6,0.2 
1/9/15,28.60,0.001,8.1,1.3 
2/9/15,55.30,2.4,9,0.4 
3/9/15,41.50,0.001,7.9,nan
4/9/15,96.40,1.10,11.30,1.10
1/10/15,55.60,0.001,14.6,28 
2/10/15,35.80,1,7.2,0.4 
3/10/15,46.40,0.001,15,nan
4/10/15,81.50,0.001,6.8,2.9 
5/10/15,30.20,0.001,9,nan
1/11/15,48.90,6.3,4.4,0.2
2/11/15,27.20,2.7,9.8,0.6 
3/11/15,21.20,2.5,6.8,0.2 
4/11/15,24.40,5.9,5.8,1.1 
1/12/15,20.40,nan,5.3,nan
2/12/15,26.60,0.2,5.5,5
3/12/15,40.40,0.6,5.9,3.2 
4/12/15,27.20,0.20,7.80,1.10 
