date,pm10,so2,no2,o3
4/1/15,34.60,1.2,7.4,1.9
5/1/15,26.30,1.2,4.8,4.3
1/2/15,32.20,0.001,7.2,6.9
2/2/15,49.60,0.2,9.2,7.9
3/2/15,36.80,0.001,6.2,10.1
4/2/15,21.80,0.001,6.4,13.4
1/3/15,69.00,0.001,10.3,6.9
2/3/15,56.10,0.001,9.40,10.40
3/3/15,40.50,0.001,7.1,10.2
4/3/15,41.1,0.001,2.8,9
5/3/15,nan,nan,nan,nan
1/4/15,30.50,0.001,6.1,3.7
2/4/15,35.30,0.6,8.9,13.7
3/4/15,39.20,0.001,10,9.7
4/4/15,nan,0.001,9.9,6.7
1/5/15,29.90,0.001,10.3,5.2
2/5/15,42.40,0.001,11.4,1.9
3/5/15,38.00,0.3,9.5,6.9
4/5/15,27.50,0.001,5.7,3.4
1/6/15,26.00,0.001,9.2,6.1
2/6/15,25.00,0.001,8.4,9.1
3/6/15,29.90,0.001,5.6,2.2
4/6/15,17.80,1.4,9.7,1.5
5/6/15,46.80,6.1,5.7,1.1
1/7/15,53.90,0.001,6.3,15.5
2/7/15,29.60,3.2,7.6,0.6
3/7/15,34.50,0.001,3.8,0.9
4/7/15,nan,0.001,9.4,2.9
1/8/15,nan,0.001,5.3,1.5
2/8/15,nan,0.001,6.4,2.2
3/8/15,nan,0.7,8.3,0.4
4/8/15,nan,0.001,10.6,1.4
1/9/15,nan,1.300,29.8,0.001
2/9/15,nan,0.001,8.7,3.1
3/9/15,nan,5.400,12.6,0.2
4/9/15,nan,0.001,14.1,0.6
1/10/15,nan,0.7,4.8,0.2
2/10/15,nan,0.001,10.8,3.8
3/10/15,nan,0.001,12,nan
4/10/15,nan,1.4,10.1,14.4
5/10/15,nan,5.7,6.7,0.00
1/11/15,nan,0.001,10.9,2.5
2/11/15,nan,0.001,13.7,2
3/11/15,nan,0.001,10.8,3.3
4/11/15,nan,0.001,14.4,3.2
1/12/15,nan,nan,7.2,3.5
2/12/15,nan,3.700,1.6,0.001
3/12/15,nan,0.5,6.3,0.7
4/12/15,nan,0.001,10.5,3.6
