date,so2,no2,pm10,pm2.5
5/6/15,nan,nan,nan,nan
6/6/15,nan,nan,nan,nan
7/6/15,nan,nan,nan,nan
8/6/15,nan,nan,nan,nan
9/6/15,7.731,2.27,74.315,49.608
10/6/15,nan,nan,70.157,33.883
11/6/15,nan,nan,59.467,24.318
12/6/15,nan,nan,72.207,31.814
13/6/15,nan,nan,77.327,37.786
14/6/15,nan,nan,50.448,25.263
15/6/15,nan,nan,70.131,44.69
16/6/15,nan,nan,69.087,37.279
17/6/15,nan,nan,83.119,40.505
18/6/15,nan,nan,125.94,63.123
19/6/15,nan,nan,117.159,57.006
20/6/15,nan,nan,74.598,48.394
21/6/15,nan,nan,63.001,34.056
22/6/15,nan,nan,105.676,49.998
23/6/15,15.171,nan,143.097,58.782
24/6/15,nan,nan,nan,nan
25/6/15,nan,nan,nan,nan
26/6/15,nan,nan,nan,nan
27/6/15,nan,nan,nan,nan
28/6/15,nan,nan,nan,nan
29/6/15,23.578,22.599,107.48,51.64
30/6/15,24.502,14.963,112.053,52.922
1/7/15,26.546,15.014,112.431,52.233
2/7/15,25.617,14.52,93.149,38.858
3/7/15,23.849,9.774,81.764,34.508
4/7/15,23.398,5.12,59.284,17.436
5/7/15,23.99,5.013,59.971,17.91
6/7/15,24.72,7.576,73.897,32.429
7/7/15,25.446,7.888,76.883,34.557
8/7/15,25.901,7.634,89.307,49.402
9/7/15,24.917,4.174,78.607,40.759
10/7/15,24.776,2.582,69.587,34.283
11/7/15,24.852,2.195,66.798,26.804
12/7/15,24.674,5.296,64.811,21.114
13/7/15,24.78,2.386,65.159,26.589
14/7/15,25.224,2.592,58.588,19.98
15/7/15,25.903,5.897,72.322,32.189
16/7/15,26.197,4.975,66.542,29.679
17/7/15,27.512,4.903,64.614,39.605
18/7/15,26,2.963,54.065,28.415
19/7/15,25.72,4.197,64.709,28.917
20/7/15,26.235,5.937,72.933,31.645
21/7/15,28.805,6.219,69.671,29.916
22/7/15,nan,nan,nan,nan
23/7/15,nan,nan,nan,nan
24/7/15,nan,nan,nan,nan
25/7/15,nan,nan,nan,nan
26/7/15,nan,nan,nan,nan
27/7/15,nan,nan,nan,nan
28/7/15,nan,nan,nan,nan
29/7/15,nan,nan,nan,nan
30/7/15,nan,nan,nan,nan
31/7/15,nan,nan,nan,nan
1/8/15,8.667,5.13,nan,nan
2/8/15,15.384,nan,nan,nan
3/8/15,17.992,nan,nan,nan
4/8/15,18.035,8.247,nan,nan
5/8/15,18.293,9.587,nan,nan
6/8/15,16.332,4.78,nan,nan
7/8/15,16.738,nan,nan,nan
8/8/15,17.106,nan,nan,nan
9/8/15,17.318,nan,nan,nan
10/8/15,18.266,nan,nan,nan
11/8/15,18.724,nan,nan,nan
12/8/15,18.769,3.68,nan,nan
13/8/15,17.792,3.83,98.864,nan
14/8/15,17.761,3.724,125.966,nan
15/8/15,19.093,4.88,95.941,62.82
16/8/15,18.11,8.648,74.902,35.479
17/8/15,18.386,7.717,62.379,27.822
18/8/15,18.714,8.157,73.253,35.131
19/8/15,19.331,6.839,77.435,39.271
20/8/15,18.919,9.28,84.35,38.168
21/8/15,18.373,4.077,71.543,33.152
22/8/15,18.633,4.129,72.17,30.675
23/8/15,18.581,nan,83.704,33.408
24/8/15,18.493,6.077,80.448,31.197
25/8/15,19.348,3.784,82.221,44.799
26/8/15,18.663,4.79,72.347,37.489
27/8/15,20.769,9.605,111.17,48.375
28/8/15,18.94,7.772,81.29,38.365
29/8/15,19.061,7.715,101.039,52.331
