,date,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y,pm10_x,so2_x,no2_x,o3_x,pm10_y,so2_y,no2_y,o3_y
47,3/12/15,,0.5,6.3,0.7,,0.001,9.3,3.4,40.4,0.6,5.9,3.2,43.9,0.5,8.3,1.8
48,4/12/15,,0.001,10.5,3.6,,0.001,12.4,,27.2,0.2,7.8,1.1,57.1,0.2,11.6,0.0
49,3/1/16,,,,,,1.66,10.03,1.09,,,,,78.55,1.93,1.42,11.47
50,4/1/16,,1.26,0.26,4.86,,1.65,0.43,5.78,45.86,1.87,5.94,18.28,40.5,1.8,6.38,1.26
51,5/1/16,,1.6,0.15,4.16,,1.86,0.43,1.27,38.69,6.54,7.67,1.28,50.27,1.6,0.2,8.09
52,1/2/16,,1.61,0.94,2.82,,1.87,8.36,1.55,32.57,5.64,6.29,1.29,71.88,1.6,0.1,1.29
53,2/2/16,,1.88,8.75,1.45,,4.69,10.74,2.7,23.69,1.61,5.77,1.27,36.57,1.6,0.1,2.8
54,3/2/16,,1.61,8.96,4.98,,2.81,16.11,6.09,35.98,4.23,6.89,1.28,54.29,1.6,11.08,1.09
55,4/2/16,,1.6,8.37,5.48,,2.34,8.87,1.28,22.31,2.81,3.09,1.28,38.67,1.61,9.11,3.52
56,1/3/16,,1.6,6.7,3.87,,4.22,11.91,1.28,29.84,1.4,6.9,1.27,57.87,1.61,10.84,2.44
57,2/3/16,,1.61,11.33,2.68,,0.4,35.3,5.53,41.29,5.15,8.21,1.28,62.0,1.61,9.59,1.09
58,3/3/16,,4.02,5.88,1.1,,3.3,12.12,1.28,25.33,1.88,6.81,3.85,62.28,1.61,13.89,3.79
59,4/3/16,,1.61,11.67,5.25,,1.89,12.09,1.99,30.5,0.001,4.62,1.99,59.21,1.62,6.96,1.1
60,1/4/16,,0.001,10.56,0.001,,0.001,20.06,1.29,32.22,0.001,6.53,3.7,30.5,0.001,10.61,0.0
61,2/4/16,,0.001,10.53,1.71,,0.001,20.06,1.29,19.62,0.001,4.08,0.0,50.81,0.001,4.41,0.0
62,3/4/16,,,,1.71,,0.001,5.71,0.001,27.46,0.001,7.08,0.001,46.41,0.001,6.79,4.7
63,4/4/16,,0.001,12.63,7.55,,0.001,6.87,1.57,29.28,0.001,7.51,1.28,59.53,0.001,9.73,0.0
64,1/5/16,,0.001,17.79,2.42,,0.001,11.45,3.86,29.1,0.001,8.36,0.001,59.1,0.001,9.28,1.71
65,2/5/16,,0.001,14.72,1.99,,0.001,21.95,2.56,4.37,0.001,3.22,0.001,49.09,0.001,11.11,1.57
66,3/5/16,,0.001,12.12,2.0,,0.001,23.12,4.27,14.0,0.001,7.21,0.001,30.66,0.001,9.76,1.28
67,4/5/16,,0.001,18.96,4.71,,2.43,6.43,,47.93,2.42,10.34,,46.68,,,
68,1/6/16,,2.42,2.42,2.85,,1.94,19.11,5.39,29.62,3.39,8.41,4.11,65.63,1.93,9.41,3.26
69,2/6/16,,0.001,10.95,4.7,,0.001,7.38,3.27,39.22,0.001,6.39,0.001,69.25,0.001,6.68,3.68
70,3/6/16,,1.93,11.21,0.001,,0.001,9.84,0.001,33.99,0.001,6.65,4.12,61.49,0.001,15.44,0.0
