date,pm10,so2,no2,o3
4/1/17,nan,0.001,8.6,0.01
5/1/17,50.51,0.001,14.4,0.01
1/2/17,59.03,0.001,15.43,0.01
2/2/17,36.59,0.001,15.93,6.81
3/2/17,49.63,0.001,16.2,0.01
4/2/17,84.22,0.001,20.7,0.01
1/4/17,46.01,nan,nan,nan
2/4/17,88.97,nan,nan,nan
3/4/17,59.05,nan,nan,nan
1/5/17,34.32,nan,nan,nan
2/5/17,53.77,nan,nan,nan
3/5/17,79.04,nan,nan,nan
4/5/17,129.18,nan,nan,nan
5/5/17,47.11,nan,nan,nan
1/6/17,42.42,nan,nan,nan
2/6/17,60.63,nan,nan,nan
3/6/17,73.23,nan,nan,nan
4/6/17,98.15,nan,nan,nan
1/7/17,62.14,nan,nan,nan
2/7/17,52.05,nan,nan,nan
3/7/17,60.17,nan,nan,nan
4/7/17,57.3,nan,nan,nan
1/8/17,59.28,nan,nan,nan
2/8/17,51.44,nan,nan,nan
3/8/17,78.87,nan,nan,nan
4/8/17,64.77,nan,nan,nan
5/8/17,50.58,nan,nan,nan
1/9/17,68.82,nan,nan,nan
2/9/17,35.34,nan,nan,nan
3/9/17,42.97,nan,nan,nan
4/9/17,51.24,nan,nan,nan
1/10/17,51.24,nan,nan,nan
2/10/17,83.99,nan,nan,nan
3/10/17,41.09,nan,nan,nan
4/10/17,69.35,nan,nan,nan
5/10/17,49.59,nan,nan,nan
1/11/17,61.82,nan,nan,nan
2/11/17,58.69,nan,nan,nan
4/11/17,44.13,nan,nan,nan
1/12/17,72.61,nan,nan,nan
2/12/17,77.03,nan,nan,nan
3/12/17,81.63,nan,nan,nan
