date,pm10,so2,no2,o3
3/1/16,78.55,1.93,1.42,11.47 
4/1/16,40.50,1.80,6.38,1.26 
5/1/16,50.27,1.60,0.20,8.09 
1/2/16,71.88,1.60,0.10,1.29 
2/2/16,36.57,1.60,0.10,2.80 
3/2/16,54.29,1.60,11.08,1.09 
4/2/16,38.67,1.61,9.11,3.52 
1/3/16,57.87,1.61,10.84,2.44 
2/3/16,62.00,1.61,9.59,1.09 
3/3/16,62.28,1.61,13.89,3.79 
4/3/16,59.21,1.62,6.96,1.10 
1/4/16,30.50,0.001,10.61,0.00
2/4/16,50.81,0.001,4.41,0.00 
3/4/16,46.41,0.001,6.79,4.70 
4/4/16,59.53,0.001,9.73,0.00 
1/5/16,59.10,0.001,9.28,1.71 
2/5/16,49.09,0.001,11.11,1.57 
3/5/16,30.66,0.001,9.76,1.28 
4/5/16,46.68,nan,nan,nan
1/6/16,65.63,1.930,9.41,3.26 
2/6/16,69.25,0.001,6.68,3.68 
3/6/16,61.49,0.001,15.44,0.00 
4/6/16,50.42,0.001,15.11,0.00 
5/6/16,90.41,0.001,11.68,0.00
1/7/16,79.37,0.001,7.71,0.001 
2/7/16,66.76,0.001,8.28,0.001 
3/7/16,66.88,0.001,6.49,0.001 
4/7/16,75.27,0.001,6.46,0.001 
1/8/16,48.59,0.001,6.45,0.001 
2/8/16,48.59,0.001,8.41,0.001 
3/8/16,92.99,0.001,8.39,1.100 
4/8/16,93.27,0.001,8.41,0.001 
5/8/16,63.67,0.001,3.83,14.32 
1/9/16,49.63,0.001,0.29,1.10 
2/9/16,61.23,0.001,1.42,1.69 
3/9/16,65.25,0.001,15.940,0.001 
4/9/16,58.94,0.001,15.54,0.001 
1/10/16,75.66,0.001,16.40,0.001 
2/10/16,62.23,0.001,20.41,0.001 
3/10/16,nan,0.001,3.31,0.001 
4/10/16,24.33,0.001,11.17,2.320 
5/10/16,44.65,0.001,19.93,1.090 
1/11/16,74.34,0.001,17.38,0.001 
2/11/16,63.12,0.001,18.08,0.001 
3/11/16,49.92,0.001,12.62,0.001 
4/11/16,26.67,0.001,13.97,0.00 
1/12/16,81.74,0.001,15.92,0.00 
2/12/16,81.59,0.001,10.95,0.00 
