date,pm10,so2,no2,o3
4/1/17,nan,0.001,5.3,0.01
5/1/17,nan,0.001,5.66,0.01
1/2/17,nan,0.001,9.6,34.16
2/2/17,nan,0.001,8.22,42.09
3/2/17,nan,0.001,10.23,21.94
4/2/17,nan,0.001,10.1,22.43
1/4/17,62.65,nan,nan,nan
2/4/17,34.37,nan,nan,nan
3/4/17,38.23,nan,nan,nan
1/5/17,51.93,nan,nan,nan
2/5/17,28.91,nan,nan,nan
3/5/17,53.59,nan,nan,nan
4/5/17,1.69,nan,nan,nan
5/5/17,nan,nan,nan,nan
1/6/17,72.34,nan,nan,nan
2/6/17,66.53,nan,nan,nan
3/6/17,14.25,nan,nan,nan
4/6/17,74.90,nan,nan,nan
5/6/17,52.84,nan,nan,nan
1/7/17,46.32,nan,nan,nan
2/7/17,65.65,nan,nan,nan
3/7/17,59.77,nan,nan,nan
4/7/17,101.68,nan,nan,nan
1/8/17,53.77,nan,nan,nan
2/8/17,38.94,nan,nan,nan
3/8/17,49.58,nan,nan,nan
4/8/17,66.12,nan,nan,nan
5/8/17,60.17,nan,nan,nan
1/9/17,87.25,nan,nan,nan
2/9/17,37.91,nan,nan,nan
3/9/17,50.48,nan,nan,nan
4/9/17,65.92,nan,nan,nan
1/10/17,42.87,nan,nan,nan
2/10/17,74.20,nan,nan,nan
3/10/17,41.61,nan,nan,nan
4/10/17,78.59,nan,nan,nan
5/10/17,46.31,nan,nan,nan
1/11/17,nan,nan,nan,nan
2/11/17,nan,nan,nan,nan
3/11/17,49.42,nan,nan,nan
4/11/17,83.48,nan,nan,nan
1/12/17,68.86,nan,nan,nan
2/12/17,69.35,nan,nan,nan
3/12/17,56.94,nan,nan,nan
