date,pm10,so2,no2,o3
4/1/17,
5/1/17,
1/2/17,
2/2/17,
3/2/17,
4/2/17,
1/3/17,
2/3/17,
3/3/17,
4/3/17,
5/3/17,
1/4/17,
2/4/17,
3/4/17,
1/5/17,
2/5/17,
3/5/17,
4/5/17,
1/6/17,
2/6/17,
3/6/17,
4/6/17,
5/6/17,
1/7/17,
2/7/17,
3/7/17,
4/7/17,
1/8/17,
2/8/17,
3/8/17,
4/8/17,
5/8/17,
1/9/17,
2/9/17,
3/9/17,
4/9/17,
1/10/17,
2/10/17,
3/10/17,
4/10/17,
5/10/17,
1/11/17,
2/11/17,
3/11/17,
4/11/17,
1/12/17,
2/12/17,
3/12/17,
4/12/17,
