date,pm10,so2,no2,o3
4/1/17,nan,0.001,5.32,4.21
5/1/17,nan,0.001,8.5,0.01
1/2/17,nan,0.001,10,31.63
2/2/17,nan,0.001,11.35,40.56
3/2/17,nan,0.001,11.42,39.22
4/2/17,nan,0.001,16.31,28.99
1/4/17,46.61,nan,nan,nan
2/4/17,76.10,nan,nan,nan
3/4/17,89.14,nan,nan,nan
1/5/17,21.80,nan,nan,nan
2/5/17,55.53,nan,nan,nan
3/5/17,60.39,nan,nan,nan
4/5/17,74.07,nan,nan,nan
1/6/17,65.96,nan,nan,nan
2/6/17,41.70,nan,nan,nan
3/6/17,56.30,nan,nan,nan
4/6/17,47.20,nan,nan,nan
5/6/17,84.01,nan,nan,nan
1/7/17,52.42,nan,nan,nan
2/7/17,50.65,nan,nan,nan
3/7/17,47.16,nan,nan,nan
4/7/17,99.79,nan,nan,nan
1/8/17,58.43,nan,nan,nan
2/8/17,64.95,nan,nan,nan
3/8/17,93.26,nan,nan,nan
4/8/17,91.70,nan,nan,nan
5/8/17,53.47,nan,nan,nan
1/9/17,56.75,nan,nan,nan
2/9/17,59.71,nan,nan,nan
3/9/17,48.48,nan,nan,nan
4/9/17,64.59,nan,nan,nan
1/10/17,74.35,nan,nan,nan
2/10/17,55.63,nan,nan,nan
3/10/17,65.17,nan,nan,nan
4/10/17,58.02,nan,nan,nan
5/10/17,25.81,nan,nan,nan
1/11/17,30.16,nan,nan,nan
2/11/17,50.69,nan,nan,nan
4/11/17,42.63,nan,nan,nan
1/12/17,41.72,nan,nan,nan
2/12/17,87.92,nan,nan,nan
3/12/17,41.34,nan,nan,nan
