date,pm10,so2,no2,o3
5/1/15,37.20,1.200,10.8,5.2 
1/2/15,55.00,0.001,15.1,5.2 
2/2/15,55.30,0.500,11.7,7.1 
3/2/15,47.40,0.001,12.6,5.3 
4/2/15,42.30,0.001,14.3,2.4 
1/3/15,38.50,0.001,15.1,7.4 
2/3/15,60.50,0.001,18.3,3 
3/3/15,74.1,0.001,12.6,8.2 
4/3/15,82.2,0.001,3.2,6.5 
5/3/15,30.3,0.001,11.1,2 
1/4/15,36.00,0.001,15.1,10 
2/4/15,35.20,0.001,16.8,15.6 
3/4/15,53.30,0.001,15.2,8.7 
4/4/15,30.90,0.001,18.6,6.8 
1/5/15,32.20,0.001,19.1,10 
2/5/15,38.60,0.001,19,6.4 
3/5/15,33.00,1.100,12.7,0.8 
4/5/15,37.40,0.001,9.8,5.7 
1/6/15,37.50,0.001,12.5,4.2 
2/6/15,41.50,0.001,9.9,3 
3/6/15,41.80,0.001,17.1,4.7 
4/6/15,54.20,0.001,20.5,4 
5/6/15,84.90,0.001,22.1,4.4 
1/7/15,nan,0.001,13.9,6.5 
2/7/15,nan,0.700,13.3,1.5 
3/7/15,nan,0.001,6.8,2.9 
4/7/15,nan,0.001,15.4,2.8 
1/8/15,nan,0.001,21.6,1.3 
2/8/15,nan,0.300,7.4,0.2 
3/8/15,nan,0.001,17.5,4 
4/8/15,nan,1.200,9,0.2 
1/9/15,nan,0.001,12.8,1.8 
2/9/15,nan,0.001,15.9,3.6 
3/9/15,nan,1.600,15.1,0.001 
4/9/15,nan,0.001,26.2,1.6 
1/10/15,nan,4.200,12.4,0.4 
2/10/15,nan,0.001,17.8,2.9 
3/10/15,nan,0.001,12.6,nan
4/10/15,nan,0.001,15,37.2 
5/10/15,nan,0.300,18,9.8 
1/11/15,nan,4.700,9.4,0.6 
2/11/15,nan,0.001,20.4,2.5 
3/11/15,nan,0.001,19,3 
4/11/15,nan,1.100,12.4,0.001 
1/12/15,nan,0.001,12.8,1.8 
2/12/15,nan,2.600,14.8,0.2
3/12/15,nan,0.001,9.3,3.4 
4/12/15,nan,0.001,12.4,nan
