date,pm10,pm2.5
17/8/15,16.7,26.996
18/8/15,22.094,36.192
19/8/15,35.022,49.747
20/8/15,34.386,52.065
21/8/15,37.915,84.979
22/8/15,34.53,59.357
23/8/15,26.448,43.909
24/8/15,23.802,35.928
25/8/15,25.283,44.963
26/8/15,26.641,42.366
27/8/15,25.765,48.062
28/8/15,24.453,48.225
29/8/15,32.508,47.092
30/8/15,21.567,31.754
31/8/15,30.609,42.634
1/9/15,27.286,43.884
2/9/15,24.298,51.144
3/9/15,24.962,45.297
4/9/15,18.742,30.423
5/9/15,19.525,27.362
6/9/15,24.107,31.254
7/9/15,32.096,44.464
8/9/15,31.323,46.124
9/9/15,33.328,53.66
10/9/15,31.629,47.735
11/9/15,33.294,48.744
12/9/15,31.88,42.323
13/9/15,nan,41.411
14/9/15,nan,27.954
15/9/15,nan,26.959
16/9/15,nan,35.667
17/9/15,nan,51.9
18/9/15,nan,172.128
19/9/15,nan,43.372
20/9/15,nan,23.43
21/9/15,nan,33.988
22/9/15,nan,52.278
23/9/15,nan,75.621
24/9/15,nan,75.122
25/9/15,nan,45.612
26/9/15,nan,58.485
27/9/15,nan,53.721
28/9/15,nan,65.033
29/9/15,nan,67.794
30/9/15,36.186,49.7
1/10/15,28.299,39.715
2/10/15,47.808,54.911
3/10/15,37.211,42.388
4/10/15,20.718,26.669
5/10/15,17.94,22.777
6/10/15,24.42,30.724
7/10/15,23.129,28.259
8/10/15,23.715,31.227
9/10/15,21.589,28.056
10/10/15,18.131,23.322
11/10/15,17.453,19.623
12/10/15,19.043,25.553
13/10/15,16.481,21.814
14/10/15,40.545,50.296
15/10/15,40.025,48.607
16/10/15,31.849,40.843
17/10/15,67.736,76.365
18/10/15,62.229,69.743
19/10/15,68.701,83.339
20/10/15,58.454,70.546
21/10/15,69.052,75.138
22/10/15,nan,93.773
23/10/15,nan,83.921
24/10/15,66.074,65.526
25/10/15,38.904,42.919
26/10/15,37.162,42.69
27/10/15,30.264,35.727
28/10/15,27.626,33.438
29/10/15,32.364,37.95
30/10/15,23.126,27.293
31/10/15,20.525,22.665
1/11/15,12.936,14.779
2/11/15,14.452,18.627
3/11/15,14.603,nan
4/11/15,17.088,nan
5/11/15,15.906,nan
6/11/15,26.876,nan
7/11/15,17.136,nan
8/11/15,19.761,nan
9/11/15,19.688,nan
10/11/15,19.693,nan
11/11/15,23.148,nan
12/11/15,21.945,nan
13/11/15,23.963,nan
14/11/15,19.461,nan
15/11/15,18.278,nan
16/11/15,24.754,nan
17/11/15,19.922,nan
18/11/15,nan,nan
19/11/15,nan,nan
20/11/15,nan,nan
21/11/15,nan,nan
22/11/15,nan,nan
23/11/15,nan,nan
24/11/15,nan,nan
25/11/15,nan,nan
26/11/15,nan,nan
27/11/15,nan,nan
28/11/15,17.745,nan
29/11/15,15.98,nan
30/11/15,14.583,nan
1/12/15,26.635,nan
2/12/15,nan,nan
3/12/15,nan,nan
4/12/15,nan,nan
5/12/15,nan,nan
6/12/15,nan,nan
7/12/15,nan,nan
8/12/15,nan,nan
9/12/15,25.304,nan
10/12/15,36.694,nan
11/12/15,39.865,nan
12/12/15,25.148,nan
13/12/15,19.513,nan
14/12/15,23.43,nan
15/12/15,17.786,nan
16/12/15,25.126,nan
17/12/15,26.595,nan
18/12/15,19.635,nan
19/12/15,9.04,nan
20/12/15,17.983,nan
21/12/15,17.793,nan
22/12/15,18.332,nan
23/12/15,29.952,nan
24/12/15,32.343,nan
25/12/15,17.088,nan
26/12/15,22.297,nan
27/12/15,15.08,nan
28/12/15,15.827,nan
29/12/15,21.591,nan
30/12/15,24.902,nan
31/12/15,15.347,nan
